ID	group	hsa_circRNA_100117	hsa_circRNA_101226	hsa_circRNA_102465	hsa_circRNA_102984	hsa_circRNA_103076	hsa_circRNA_103089	hsa_circRNA_103285	hsa_circRNA_103390	hsa_circRNA_104003	hsa_circRNA_104313	hsa_circRNA_104759	hsa_circRNA_400091
GSM2099896	0	5.75924	6.274386	7.340085	8.513246	5.873927	6.50948	7.584735	7.208128	7.754308	5.49468	6.743498	8.795149
GSM2099898	0	6.340132	6.408713	7.935919	9.780699	6.4018	6.972299	8.628089	8.648135	8.680296	5.258359	7.701832	9.403626
GSM2099900	0	5.743934	5.835524	8.105011	8.987199	5.184323	6.37715	8.02948	7.947038	8.365451	5.006781	7.458567	8.745425
GSM2099902	0	6.603733	6.229365	9.099135	9.664034	5.396074	6.345511	9.135933	8.275506	8.7523	5.271958	7.242824	8.897167
GSM2099904	0	6.307794	6.84703	8.588555	10.547097	7.002951	7.228529	9.197661	9.267053	9.133562	6.291645	8.925594	9.955597
GSM2099906	0	5.922668	6.348404	7.639387	9.163528	6.918816	7.125285	8.14857	7.927979	8.3015	5.541701	7.962828	8.930111
GSM2099908	0	5.488224	6.566706	6.951285	8.502181	5.885822	6.687628	7.585043	7.207413	7.947057	5.094374	6.803576	9.184319
GSM2099910	0	5.747827	6.162291	7.261978	9.522637	6.008682	7.278554	8.345938	8.379169	8.163024	5.605502	7.934838	9.303126
GSM2099912	0	5.107995	6.428086	6.295223	8.572696	5.772829	7.228061	7.259777	7.364422	8.016255	5.185401	6.843538	9.511087
GSM2099914	0	5.75324	5.747241	7.31851	8.596807	6.017409	6.67364	7.740486	7.64257	7.812864	5.442969	7.167489	8.557849
GSM2099916	0	7.110732	6.28065	9.28376	10.579891	5.997062	7.341184	9.619752	9.502923	9.358708	5.466815	8.400136	9.7877
GSM2099918	0	5.872346	7.153449	8.591189	9.677294	6.045767	6.817549	8.746148	8.545941	8.510718	5.53082	8.390656	9.701134
GSM2099920	0	5.831226	6.494547	7.774946	9.916112	6.831668	7.783091	8.700397	8.566871	9.101584	5.127252	8.14956	9.622831
GSM2099922	0	6.148185	6.248352	8.055617	9.682076	5.783794	6.921996	8.76018	8.406026	8.905502	5.551924	7.64998	9.246446
GSM2099924	0	6.727801	6.412112	8.457772	10.021105	6.488285	6.621872	8.772638	8.977262	9.133562	5.851143	7.873449	9.505069
GSM2099926	0	5.344769	6.473509	7.447245	9.315935	7.055671	7.258738	8.080021	8.125946	8.394546	6.047958	8.146573	9.247929
GSM2099928	0	6.080058	6.17355	6.885986	8.337108	7.209993	7.43298	7.722882	7.561461	7.859151	5.124928	7.164663	8.415745
GSM2099930	0	5.512299	6.030018	6.985511	8.793661	6.677989	8.183226	7.438413	7.733978	8.002046	5.36766	7.687731	9.014581
GSM2099932	0	5.795581	6.167075	7.000777	8.984911	6.886734	8.012273	7.837305	7.912763	8.164848	6.188604	7.843219	8.55075
GSM2099934	0	5.170845	6.017195	6.641744	8.416924	5.673594	6.648258	6.897702	6.973082	7.467408	5.157883	7.240143	8.486184
GSM2099895	1	7.579618	11.344882	8.880514	11.046426	7.461627	7.86652	9.629938	10.03128	10.06014	6.986633	8.719049	10.427916
GSM2099897	1	7.127241	7.342462	8.375481	11.576688	8.50121	8.136163	9.592745	9.71299	9.474468	7.207205	8.948698	10.209104
GSM2099899	1	6.498963	6.756879	8.054965	10.956966	7.630041	7.885405	9.037518	9.504861	9.401281	6.700624	8.409818	9.910663
GSM2099901	1	6.801507	6.831562	8.461638	11.183578	7.394846	7.912392	9.476321	9.919623	9.597519	6.392652	8.548102	10.314159
GSM2099903	1	6.89285	9.22158	9.109491	11.339001	7.418872	7.982665	9.940113	10.146206	10.016444	6.724524	9.053487	10.920084
GSM2099905	1	6.807269	7.144475	8.375491	11.561595	8.506435	8.47538	9.584764	10.147035	10.06503	6.371899	9.425952	10.468676
GSM2099907	1	6.844334	7.332699	8.716626	10.891605	6.865387	8.100167	9.417373	9.82824	9.479453	6.156478	8.843256	10.231282
GSM2099909	1	7.726071	9.557349	9.070438	12.345294	8.216561	8.465586	10.186183	11.050038	10.99454	7.537758	9.325954	11.074744
